,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC
Date,,,,,,,,,,,,
2017-03-07,20924.759765625,2368.389892578125,20924.759765625,2368.389892578125,20970.5390625,2375.1201171875,20901.259765625,2365.510009765625,20934.890625,2370.739990234375,274630000,3526300000
2017-03-08,20855.73046875,2362.97998046875,20855.73046875,2362.97998046875,20951.439453125,2373.090087890625,20835.580078125,2361.010009765625,20940.439453125,2369.81005859375,296780000,3814080000
2017-03-09,20858.189453125,2364.8701171875,20858.189453125,2364.8701171875,20900.5703125,2369.080078125,20777.16015625,2354.5400390625,20864.3203125,2363.489990234375,275960000,3718450000
2017-03-10,20902.98046875,2372.60009765625,20902.98046875,2372.60009765625,20940.2890625,2376.860107421875,20827.66015625,2363.0400390625,20919.009765625,2372.52001953125,315430000,3434400000
2017-03-13,20881.48046875,2373.469970703125,20881.48046875,2373.469970703125,20926.060546875,2374.419921875,20845.7109375,2368.52001953125,20899.279296875,2371.56005859375,289260000,3166650000
2017-03-14,20837.369140625,2365.449951171875,20837.369140625,2365.449951171875,20874.0,2368.550048828125,20786.310546875,2358.179931640625,20848.599609375,2368.550048828125,246820000,3173760000
2017-03-15,20950.099609375,2385.260009765625,20950.099609375,2385.260009765625,20977.470703125,2390.010009765625,20859.599609375,2368.93994140625,20874.779296875,2370.340087890625,306590000,3909490000
2017-03-16,20934.55078125,2381.3798828125,20934.55078125,2381.3798828125,21000.109375,2388.10009765625,20893.5,2377.179931640625,20969.26953125,2387.7099609375,264360000,3368880000
2017-03-17,20914.619140625,2378.25,20914.619140625,2378.25,20980.509765625,2385.7099609375,20911.0703125,2377.639892578125,20965.369140625,2383.7099609375,535280000,5179820000
2017-03-20,20905.859375,2373.469970703125,20905.859375,2373.469970703125,20955.44921875,2379.550048828125,20885.69921875,2369.659912109375,20916.26953125,2378.239990234375,253610000,3061560000
2017-03-21,20668.009765625,2344.02001953125,20668.009765625,2344.02001953125,20970.0390625,2381.929931640625,20653.259765625,2341.89990234375,20956.330078125,2379.320068359375,369320000,4278890000
2017-03-22,20661.30078125,2348.449951171875,20661.30078125,2348.449951171875,20686.2109375,2351.81005859375,20578.94921875,2336.449951171875,20640.419921875,2343.0,325090000,3575160000
