,idDate,wind,temperature_mean
478,2008/12/27,6.0,10.0
479,2010/02/27,5.0,14.0
480,2012/08/26,19.0,26.0
481,2012/08/21,4.0,26.0
482,2010/02/20,11.0,10.0
483,2012/08/23,5.0,28.0
484,2010/02/22,15.0,14.0
485,2012/08/29,6.0,26.0
486,2010/02/28,8.0,14.0
487,2014/12/16,3.0,10.0
488,2006/08/04,17.0,26.0
489,2008/12/22,3.0,8.0
490,2008/12/21,3.0,9.0
491,2008/12/20,5.0,10.0
492,2010/06/21,7.0,20.0
493,2010/06/20,13.0,19.0
494,2010/06/23,6.0,18.0
495,2010/06/22,8.0,19.0
496,2010/06/25,6.0,22.0
497,2010/06/24,6.0,20.0
498,2010/06/27,7.0,22.0
499,2010/06/26,8.0,22.0
500,2010/06/28,6.0,22.0
501,2008/07/15,9.0,22.0
502,2006/09/24,8.0,22.0
503,2006/09/23,6.0,25.0
504,2006/09/22,12.0,25.0
505,2013/11/30,4.0,5.0
506,2008/07/11,6.0,24.0
507,2015/06/08,6.0,22.0
508,2015/06/09,7.0,22.0
509,2012/10/08,6.0,22.0
510,2015/06/02,7.0,20.0
511,2015/06/03,7.0,20.0
512,2010/07/06,5.0,25.0
513,2015/06/01,7.0,20.0
514,2015/06/06,7.0,22.0
515,2015/06/07,7.0,22.0
516,2015/06/04,7.0,22.0
517,2015/06/05,7.0,22.0
518,2008/10/02,9.0,20.0
519,2008/10/07,5.0,17.0
520,2009/12/05,7.0,12.0
521,2009/12/06,6.0,11.0
522,2009/12/07,5.0,12.0
523,2009/12/08,4.0,12.0
524,2009/12/09,2.0,11.0
525,2008/10/09,28.0,18.0
526,2008/10/08,9.0,20.0
527,2012/02/21,7.0,6.0
528,2012/02/20,10.0,8.0
529,2010/08/27,5.0,24.0
530,2010/08/26,5.0,24.0
531,2012/01/26,2.0,8.0
532,2012/01/27,5.0,9.0
533,2012/01/24,4.0,10.0
534,2012/01/25,3.0,8.0
535,2012/01/22,4.0,10.0
536,2012/01/23,4.0,10.0
537,2012/01/20,4.0,10.0
538,2012/01/21,4.0,10.0
539,2008/11/29,33.0,14.0
540,2012/01/28,13.0,10.0
541,2012/01/29,8.0,5.0
542,2011/01/29,6.0,10.0
543,2016/04/11,6.0,14.0
544,2011/01/26,3.0,6.0
545,2011/01/21,14.0,4.0
546,2011/01/20,7.0,10.0
547,2011/01/23,5.0,4.0
548,2011/01/22,6.0,4.0
549,2010/08/28,19.0,27.0
550,2016/04/14,7.0,14.0
551,2016/04/15,4.0,14.0
552,2008/11/21,7.0,11.0
553,2013/12/30,3.0,8.0
554,2013/12/31,4.0,8.0
555,2010/07/05,7.0,25.0
556,2016/04/17,9.0,18.0
557,2010/07/07,6.0,24.0
558,2010/08/23,5.0,23.0
559,2016/05/09,8.0,20.0
560,2010/07/02,5.0,24.0
561,2010/07/03,7.0,24.0
562,2009/11/29,18.0,14.0
563,2009/11/28,3.0,12.0
564,2010/05/06,7.0,12.0
565,2009/11/23,3.0,12.0
566,2009/11/22,3.0,14.0
567,2009/11/21,2.0,16.0
568,2009/11/20,2.0,16.0
569,2009/11/25,4.0,12.0
570,2009/11/24,3.0,12.0
571,2014/10/31,5.0,18.0
572,2014/10/30,4.0,18.0
573,2008/10/05,5.0,17.0
574,2011/02/02,4.0,10.0
575,2011/02/03,8.0,9.0
576,2008/12/07,4.0,13.0
577,2008/12/06,8.0,12.0
578,2011/02/06,3.0,8.0
579,2011/02/04,5.0,10.0
